Distance,Time,Avg Run Cadence,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Normalized Power® (NP®),Avg Resp,Active Ratio,Elevation Rate,Score
6.61,2361,147,1.12,8.5,9.2,267,305,31.0,0.9953409572215163,6.202723146747352,0.25609965063419166
7.98,2365,163,1.25,9.1,11.6,235,330,30.0,0.9987315010570824,6.140350877192982,0.38468254159719134
5.92,1620,163,1.36,8.4,11.7,230,356,34.0,0.9962962962962963,5.574324324324325,-0.13361158883702418
8.07,2823,149,1.12,9.1,10.0,257,310,31.0,0.9985830676585193,6.44361833952912,-0.1456439718898827
9.42,2689,160,1.32,8.4,11.2,235,348,37.0,0.995165489029379,7.749469214437368,-0.13822715640668282
7.41,2820,142,1.08,9.2,9.6,271,302,32.0,0.9868794326241135,5.802968960863698,-0.5971719094227783
21.16,6798,160,1.17,9.3,11.1,242,312,30.0,0.9933804060017652,7.277882797731569,0.2699463533431675
10.34,3205,160,1.21,9.0,11.2,243,329,32.0,0.9965678627145086,10.34816247582205,-0.1654270976959228
6.62,2005,152,1.33,8.3,11.0,239,351,35.0,0.9935162094763093,6.3444108761329305,-0.1451505077611709
8.6,2603,154,1.3,8.7,11.5,240,342,32.0,0.9769496734537073,8.953488372093023,-0.1451505077611709
8.26,2937,146,1.14,8.9,9.8,264,307,31.0,0.9989785495403473,7.990314769975787,-0.12998294952478937
8.65,2767,153,1.22,9.0,11.2,247,338,33.0,0.9956631731116733,8.092485549132947,-0.2396101060804427
7.96,2813,145,1.15,8.8,9.8,267,306,31.0,0.9868467827941699,6.155778894472362,0.011459715889762495
11.97,3663,155,1.26,8.7,11.1,238,340,31.0,0.9978159978159978,8.771929824561402,0.22296328624788758
6.05,1815,157,1.29,8.7,11.4,234,341,30.0,0.9944903581267218,7.272727272727273,0.6472912824915431
8.4,2820,148,1.2,8.4,9.9,259,323,31.0,0.9932624113475177,5.595238095238095,0.21142436732374092
5.47,1563,159,1.34,9.2,12.6,233,358,30.0,0.982725527831094,7.861060329067642,0.47683435613163405
15.5,4701,159,1.25,9.5,12.2,236,331,30.0,0.9989363965113806,8.709677419354838,0.1713646515829489
5.04,1233,163,1.5,7.7,11.9,214,377,38.0,0.9984038308060654,8.333333333333334,-0.7910406009009625
7.7,2328,150,1.31,8.0,10.4,234,345,35.0,0.9875429553264605,7.142857142857142,-1.182232232758314
10.05,3003,153,1.31,8.6,11.5,233,345,35.0,0.967032967032967,5.870646766169154,-0.7063056018497197
8.86,3044,148,1.16,9.0,10.3,254,322,32.0,0.9990144546649146,7.6749435665914225,0.0856427242742824
5.03,1300,157,1.47,7.9,11.7,221,387,38.0,0.9861538461538462,8.548707753479125,-0.7081199215058374
9.64,3002,148,1.29,8.4,10.9,245,351,33.0,0.966688874083944,8.29875518672199,-0.18339590384584548
5.01,1477,159,1.29,9.4,12.3,235,345,28.0,0.998645903859174,7.984031936127745,0.6316302601264497
7.06,2189,156,1.26,9.3,11.9,237,335,25.0,0.9904240766073872,7.223796033994335,0.5731082741070233
8.86,3004,146,1.21,8.7,10.3,252,331,27.0,0.9730359520639148,6.997742663656886,0.36852805510338615
5.02,1489,156,1.3,8.7,11.5,240,346,32.0,0.9993284083277367,8.167330677290837,0.06816738225307162
8.63,2524,158,1.3,8.6,11.5,233,346,34.0,0.9968304278922345,7.879490150637311,-0.4750189056855546
10.05,3146,160,1.21,9.9,12.3,230,325,25.0,0.9955499046408137,8.656716417910447,0.3081917494278421
5.06,1515,160,1.26,9.3,12.0,229,335,30.0,0.9953795379537954,7.312252964426878,0.03222976995322635
3.17,1762,105,1.02,8.5,8.2,290,248,29.0,0.7542565266742338,5.3627760252365935,-2.581157401397469
6.9,2427,147,1.15,10.1,11.3,257,327,27.0,0.9905232797692625,5.652173913043478,-0.39259169041914116
6.38,2660,130,1.11,9.3,10.0,264,284,27.0,0.8977443609022556,6.269592476489028,-0.08349334655822127
5.03,1616,155,1.2,9.8,12.2,232,325,28.0,0.9900990099009901,6.958250497017892,0.2699463533431675
6.98,2862,136,1.06,8.9,9.2,260,293,29.0,0.9703004891684137,6.017191977077363,-0.37973191596758893
7.2,3301,121,1.08,8.7,9.1,282,282,29.0,0.8773099060890639,4.722222222222222,-1.5587497705079958
7.32,3319,129,1.02,9.3,9.2,267,268,29.0,0.9291955408255499,6.28415300546448,-0.7483391741053591
6.94,2472,135,1.24,7.8,9.8,248,336,31.0,0.9053398058252428,8.357348703170029,-0.35896186190412516
5.2,1909,148,1.11,9.4,10.8,242,302,29.0,0.9774869109947644,5.961538461538462,0.18191664224967175
5.12,1746,148,1.18,9.1,10.9,236,318,29.0,0.9833906071019473,7.03125,0.5436005490329541
7.2,2866,140,1.06,8.5,8.9,261,293,29.0,0.9874389392882066,9.444444444444445,-0.4806214015126369
5.07,1659,142,1.29,8.3,11.0,231,339,33.0,0.9367088607594937,7.692307692307692,-1.1039271209328472
3.05,830,160,1.38,8.6,12.3,222,362,35.0,0.9626506024096385,7.213114754098361,-0.3266528889165148
7.01,2407,148,1.18,8.8,10.7,233,323,34.0,0.943082675529705,8.273894436519258,-1.1804179131021963
7.92,3324,137,1.02,8.8,8.7,275,282,28.0,0.98676293622142,6.313131313131313,-0.22493601197277302
5.02,1504,162,1.24,9.6,12.1,222,340,31.0,0.9980053191489362,7.171314741035857,-0.4077592486555226
4.51,1507,151,1.21,9.3,11.2,241,332,33.0,0.9455872594558726,5.764966740576497,-0.5966784452940663
8.73,3651,142,1.0,9.2,9.0,265,291,28.0,0.9909613804437141,7.560137457044673,-0.8399975245110899
6.76,2487,150,1.1,9.2,10.1,242,302,34.0,0.9529553679131484,8.284023668639053,-1.524133013735556
