Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-11-04 18:53:37,false,"Sydney - Base","7.07","444","00:38:02","135","153","2.8","158","172","5:23","4:04","51","62","1.16","8.6","10.2","242","49.1% L / 50.9% R","5:21","317","0.0","294","431","5,796","22.0","No","00:00:23.2","8","30.0","29","16","38","00:38:00","00:38:02","40","62"
Treadmill Running,2024-11-03 17:39:48,false,"Base","21.15","1,310","01:52:34","143","159","3.8","154","171","5:19","4:05","--","--","1.22","9.4","11.7","249","49.6% L / 50.4% R","--","316","0.0","301","442","16,916","--","No","00:03:21.3","22","--","32","22","43","01:49:07","01:53:50","--","--"
Running,2024-11-02 17:03:58,false,"Sydney - Threshold","6.79","443","00:36:01","141","168","3.2","151","219","5:18","3:40","44","42","1.26","7.9","10.0","244","50.3% L / 49.7% R","5:14","334","0.0","296","492","5,302","21.0","No","00:00:01","9","28.0","31","15","41","00:33:45","00:36:04","47","58"
Treadmill Running,2024-10-31 18:14:20,false,"Recovery","5.29","327","00:28:02","133","150","2.5","156","163","5:18","5:31","--","--","1.07","9.3","10.0","287","--","--","262","0.0","260","296","4,368","--","No","00:00:02.3","6","--","--","--","--","00:27:51","00:28:02","--","--"
Running,2024-10-29 18:43:17,false,"Sydney - Sprint","4.87","335","00:34:53","127","164","2.3","137","248","7:10","2:10","27","33","0.98","7.8","7.5","294","49.8% L / 50.2% R","7:04","276","0.0","203","722","4,598","22.0","No","00:00:15","20","28.0","30","16","42","00:33:27","00:34:53","43","56"
Treadmill Running,2024-10-28 17:25:58,false,"Base","7.62","484","00:39:04","140","152","3.0","156","240","5:08","4:05","--","--","1.11","9.1","10.0","279","--","--","272","0.0","265","386","6,076","--","No","00:00:03.8","8","--","--","--","--","00:38:12","00:39:04","--","--"
Running,2024-10-27 18:51:49,false,"Sydney - Long Run","13.01","835","01:12:48","137","155","3.3","159","218","5:36","4:10","89","92","1.12","9.0","10.4","245","49.5% L / 50.5% R","5:34","310","0.0","291","457","11,406","24.0","No","00:00:02.3","14","30.0","29","18","37","01:11:46","01:12:48","42","57"
Running,2024-10-26 19:04:53,false,"Sydney - Threshold","8.12","521","00:40:05","147","170","3.4","157","213","4:56","3:34","55","56","1.29","7.6","10.1","242","49.9% L / 50.1% R","4:54","352","0.0","318","552","6,128","18.0","No","00:00:05.0","15","28.0","32","16","50","00:39:25","00:40:05","41","64"
Treadmill Running,2024-10-25 13:21:42,false,"Anaerobic","7.39","431","00:45:09","127","167","2.4","145","209","6:07","2:49","--","--","1.09","8.6","9.2","302","49.6% L / 50.4% R","--","306","0.0","243","511","6,412","--","No","00:00:01.5","18","--","30","19","39","00:44:03","00:45:09","--","--"
Running,2024-10-24 17:13:01,false,"Sydney - Base","5.02","324","00:27:49","132","152","2.4","155","189","5:33","4:08","32","36","1.17","8.9","10.6","244","49.4% L / 50.6% R","5:32","312","0.0","293","420","4,188","21.0","No","00:00:05.2","6","28.0","30","20","39","00:26:13","00:27:59","44","56"
Running,2024-10-23 18:27:35,false,"Sydney - Anaerobic","6.18","411","00:40:59","131","175","2.7","137","214","6:38","2:28","25","28","1.05","7.2","7.5","280","49.7% L / 50.3% R","6:34","310","0.0","217","623","5,456","24.0","No","00:00:27.9","21","30.0","30","21","44","00:39:32","00:40:59","44","55"
Treadmill Running,2024-10-22 18:05:19,false,"Recovery","6.59","376","00:33:03","134","148","2.7","159","216","5:01","4:26","--","--","1.08","9.0","9.7","275","--","--","268","0.0","261","369","5,246","--","No","00:00:02.7","7","--","--","--","--","00:32:35","00:33:03","--","--"
Treadmill Running,2024-10-21 17:46:55,false,"Base","7.57","439","00:39:03","134","150","2.8","158","179","5:10","5:11","--","--","1.09","9.0","9.7","275","--","--","271","0.0","262","317","6,190","--","No","00:00:03.3","8","--","--","--","--","00:38:03","00:39:03","--","--"
Treadmill Running,2024-10-20 14:29:06,false,"Long Run","14.38","892","01:22:03","140","157","3.2","155","197","5:42","4:41","--","--","1.13","9.6","11.3","258","50.1% L / 49.9% R","--","301","0.0","283","388","12,534","--","No","00:00:02.6","16","--","29","19","40","01:21:48","01:22:03","--","--"
Running,2024-10-18 11:35:29,false,"Sydney - Threshold","8.12","568","00:46:36","146","175","3.3","147","248","5:44","3:54","51","50","1.18","7.8","9.5","251","49.8% L / 50.2% R","5:41","328","0.0","276","478","6,666","21.0","No","00:01:51.7","10","26.0","35","17","46","00:43:39","00:46:36","45","60"
Running,2024-10-16 10:44:35,false,"Sydney - Base","5.01","331","00:27:42","135","150","2.5","157","236","5:32","4:31","37","33","1.18","8.2","9.4","254","--","5:28","306","0.0","285","416","4,380","23.0","No","00:00:02.0","6","27.0","--","--","--","00:27:03","00:27:42","43","56"
Running,2024-10-13 07:15:57,true,"Sydney Running","42.27","2,760","03:49:50","152","169","5.0","166","255","5:26","4:21","205","201","1.11","9.4","10.6","235","49.9% L / 50.1% R","5:24","302","0.0","299","483","37,734","16.0","No","00:01:17.5","43","25.0","33","14","41","03:49:19","03:49:52","0","20"
Running,2024-10-12 10:34:30,false,"Sydney - Base","6.19","394","00:32:00","139","158","2.7","162","175","5:10","3:35","46","47","1.20","8.8","10.9","236","49.6% L / 50.4% R","5:09","333","0.0","321","454","5,108","20.0","No","00:01:59.5","7","28.0","32","15","42","00:31:13","00:32:51","44","57"
Running,2024-10-09 16:19:42,false,"Sydney - Recovery","6.35","393","00:35:00","129","150","2.6","158","172","5:31","4:02","50","49","1.15","8.2","9.7","252","49.4% L / 50.6% R","5:27","315","0.0","290","440","5,464","19.0","No","00:01:53.9","7","26.0","30","19","38","00:34:54","00:35:00","44","59"
Running,2024-10-08 17:35:16,false,"Sydney - Tempo","8.79","553","00:46:03","141","167","3.3","154","176","5:14","3:45","57","62","1.23","7.6","9.6","247","49.4% L / 50.6% R","5:11","341","0.0","298","522","6,948","18.0","No","00:00:03.5","17","27.0","28","14","41","00:45:08","00:46:03","42","57"
Running,2024-10-06 18:43:38,false,"Sydney - Base","8.01","517","00:43:01","141","156","3.0","161","170","5:22","4:23","54","60","1.16","8.8","10.5","247","49.4% L / 50.6% R","5:20","318","0.0","304","423","6,834","25.0","No","00:01:01.1","9","31.0","29","21","40","00:42:56","00:43:01","40","64"
Running,2024-10-05 17:35:40,false,"Sydney - Base","8.16","525","00:43:17","140","156","3.0","161","173","5:18","4:06","57","60","1.16","8.8","10.5","240","49.4% L / 50.6% R","5:17","321","0.0","307","438","6,922","25.0","No","00:01:17.3","9","30.0","31","20","43","00:42:47","00:43:17","43","57"
Treadmill Running,2024-10-04 13:38:41,false,"Treadmill Running","8.01","480","00:39:24","138","150","3.0","161","169","4:55","4:56","--","--","1.07","9.1","9.8","277","--","--","268","0.0","267","316","6,338","--","No","00:04:35.1","7","--","--","--","--","00:39:22","00:39:24","--","--"
Treadmill Running,2024-10-03 12:43:45,false,"Recovery","5.02","274","00:24:49","130","141","2.2","163","169","4:57","5:17","--","--","1.07","9.0","9.6","272","--","--","269","0.0","267","304","4,048","--","No","00:01:45.7","5","--","--","--","--","00:24:40","00:24:49","--","--"
Running,2024-10-02 17:31:15,false,"Sydney - Anaerobic","8.71","565","00:53:05","134","169","3.1","146","211","6:06","2:34","42","46","1.09","7.5","7.7","272","49.5% L / 50.5% R","6:01","307","0.0","238","592","7,488","18.0","No","00:00:14.2","33","27.0","30","21","42","00:52:54","00:53:05","46","56"
Treadmill Running,2024-10-01 17:17:52,false,"Threshold","8.54","536","00:40:09","150","170","3.6","162","178","4:42","3:28","--","--","1.31","8.4","11.3","237","49.1% L / 50.9% R","--","340","0.0","329","531","6,412","--","No","00:00:09.4","10","--","36","14","51","00:39:34","00:40:09","--","--"
Running,2024-09-29 14:35:25,false,"Sydney - Base","11.71","767","01:02:03","146","164","3.4","160","193","5:18","4:14","89","84","1.17","8.1","9.8","246","49.1% L / 50.9% R","5:15","323","0.0","302","493","9,800","24.0","No","00:00:03.3","13","29.0","33","18","42","01:01:37","01:02:08","43","64"
Running,2024-09-28 10:05:53,false,"Sydney - Sprint","5.02","347","00:35:29","128","166","2.4","133","242","7:04","2:10","19","21","1.02","7.1","7.0","286","49.4% L / 50.6% R","7:02","279","0.0","200","746","4,518","21.0","No","00:00:15","20","25.0","29","14","41","00:32:57","00:35:29","46","57"
Running,2024-09-27 12:55:38,false,"Sydney - Threshold","4.81","300","00:23:26","144","169","3.0","153","233","4:52","3:17","31","31","1.37","7.5","10.3","227","48.7% L / 51.3% R","4:47","361","0.0","328","525","3,504","17.0","No","00:00:02.4","7","26.0","34","17","47","00:21:39","00:23:26","46","58"
Treadmill Running,2024-09-26 19:42:26,false,"Treadmill Running","9.16","463","00:46:25","129","144","2.3","160","220","5:04","4:31","--","--","1.08","9.0","9.7","274","--","--","269","0.0","264","367","7,348","--","No","00:05:25.6","8","--","--","--","--","00:45:36","00:46:25","--","--"
Running,2024-09-25 08:58:55,false,"Sydney - Anaerobic","5.22","347","00:34:44","130","170","2.5","142","203","6:39","2:40","24","24","1.01","7.6","7.5","270","49.1% L / 50.9% R","6:33","293","0.0","217","558","4,834","24.0","No","00:00:13.1","17","27.0","31","16","43","00:34:35","00:34:44","46","58"
Treadmill Running,2024-09-23 17:24:41,false,"Tempo","10.01","578","00:49:59","143","163","3.2","157","172","5:00","4:00","--","--","1.20","8.2","10.2","253","49.2% L / 50.8% R","--","319","0.0","291","444","7,778","--","No","00:00:57.2","14","--","31","16","42","00:49:47","00:49:59","--","--"
Running,2024-09-22 16:34:37,false,"Sydney - Long Run","21.16","1,344","01:57:03","141","157","3.8","161","205","5:32","4:12","144","147","1.12","8.9","10.3","241","49.0% L / 51.0% R","5:30","307","0.0","293","456","18,572","24.0","No","00:00:51.1","22","29.0","27","14","38","01:55:42","01:57:10","41","65"
Running,2024-09-21 17:19:41,false,"Sydney - Base","8.13","512","00:42:03","142","159","3.0","166","172","5:10","4:15","54","55","1.17","8.7","10.5","240","49.0% L / 51.0% R","5:10","320","0.0","314","440","6,902","22.0","No","00:00:03.3","10","28.0","25","14","36","00:42:01","00:42:45","42","55"
Treadmill Running,2024-09-20 12:52:03,false,"Threshold","7.71","448","00:34:32","148","168","3.4","163","174","4:29","4:00","--","--","1.29","8.4","11.1","238","48.8% L / 51.2% R","--","336","0.0","326","401","5,558","--","No","00:00:32.4","9","--","36","20","46","00:34:19","00:35:39","--","--"
Treadmill Running,2024-09-19 17:19:19,false,"Base","8.14","490","00:42:04","138","152","2.9","161","171","5:10","4:31","--","--","1.20","9.5","11.7","242","48.8% L / 51.2% R","--","317","0.0","312","406","6,690","--","No","00:00:04.3","10","--","29","14","40","00:41:56","00:42:04","--","--"
Running,2024-09-18 17:13:56,false,"Sydney - VO2 Max","7.20","493","00:38:07","149","176","3.4","154","183","5:17","3:21","46","48","1.21","7.1","8.6","261","49.2% L / 50.8% R","5:15","343","0.0","291","539","5,694","23.0","No","00:01:00","20","29.0","35","28","45","00:36:26","00:38:07","44","57"
Running,2024-09-16 17:03:21,false,"Sydney - Base","8.18","512","00:42:03","142","165","3.1","164","192","5:08","3:53","60","60","1.19","8.5","10.3","238","48.6% L / 51.4% R","5:07","323","0.0","312","438","6,790","18.0","No","00:00:02.8","10","26.0","28","14","39","00:41:50","00:42:08","40","63"
Running,2024-09-14 16:44:03,false,"Sydney - Long Run","21.14","1,355","01:54:16","142","159","3.9","164","216","5:24","3:52","165","169","1.14","8.9","10.3","241","48.8% L / 51.2% R","5:22","320","0.0","307","489","18,456","21.0","No","00:00:16.2","23","28.0","30","20","41","01:53:00","01:54:43","40","63"
Running,2024-09-13 09:41:07,false,"Sydney - Sprint","5.36","385","00:40:12","130","165","2.5","126","243","7:30","2:03","34","32","1.03","7.8","7.7","279","48.8% L / 51.2% R","7:22","280","0.0","198","847","4,904","22.0","No","00:00:15","21","26.0","30","13","41","00:34:31","00:41:42","44","57"
Running,2024-09-11 16:54:36,false,"Sydney - Base","8.28","542","00:42:54","148","163","3.2","162","173","5:11","3:55","63","63","1.20","8.5","10.5","239","48.7% L / 51.3% R","5:09","318","0.0","306","471","6,858","24.0","No","00:00:31.6","10","30.0","31","22","39","00:42:02","00:43:18","41","64"
Running,2024-09-10 17:12:54,false,"Sydney - VO2 Max","7.01","496","00:36:33","156","180","3.6","147","178","5:13","3:26","47","50","1.29","7.5","9.6","251","48.7% L / 51.3% R","5:10","350","0.0","296","516","5,218","21.0","No","00:00:33.5","20","27.0","35","18","47","00:32:56","00:36:33","44","56"
Running,2024-09-09 17:11:23,false,"Sydney - Base","8.02","505","00:42:34","140","156","3.0","161","174","5:19","4:13","63","71","1.17","8.5","10.2","247","48.8% L / 51.2% R","5:17","316","0.0","300","448","6,786","22.0","No","00:00:34.0","9","29.0","29","18","41","00:42:03","00:45:38","41","56"
Running,2024-09-08 11:14:02,false,"Sydney - Base","12.26","807","01:05:31","148","167","3.6","162","246","5:21","4:11","85","86","1.16","8.2","9.8","240","49.0% L / 51.0% R","5:16","312","0.0","293","468","10,492","21.0","No","00:01:21.0","13","27.0","31","18","42","01:04:56","01:05:31","43","67"
Treadmill Running,2024-09-07 19:47:34,false,"Base","8.09","463","00:42:03","138","151","2.6","159","204","5:12","4:35","--","--","1.16","9.2","11.0","253","48.5% L / 51.5% R","--","301","0.0","290","369","6,590","--","No","00:00:02.8","9","--","25","16","40","00:41:11","00:42:41","--","--"
Treadmill Running,2024-09-06 11:38:35,false,"Recovery","6.66","311","00:33:03","126","138","2.1","165","171","4:58","5:05","--","--","1.11","8.8","9.7","267","--","--","276","0.0","275","304","5,418","--","No","00:00:03.4","7","--","--","--","--","00:32:54","00:33:03","--","--"
Treadmill Running,2024-09-05 19:21:21,false,"Treadmill Running","4.45","287","00:25:21","142","149","3.0","159","240","5:42","5:04","--","--","1.12","8.8","9.8","267","--","--","275","0.0","265","315","3,994","--","No","00:02:35.6","5","--","--","--","--","00:24:23","00:25:21","--","--"
Running,2024-09-04 16:41:19,false,"Sydney - Base","12.63","804","01:09:23","141","162","3.4","158","221","5:30","4:18","80","81","1.15","8.4","9.8","249","49.4% L / 50.6% R","5:28","314","0.0","286","448","10,848","21.0","No","00:03:50.3","13","27.0","30","16","42","01:08:17","01:09:23","43","57"
Running,2024-09-03 09:23:11,false,"Sydney - VO2 Max","5.50","392","00:31:37","148","180","3.2","138","226","5:45","3:17","40","41","1.27","7.3","9.0","252","49.4% L / 50.6% R","5:38","335","0.0","264","515","4,234","19.0","No","00:00:02.3","12","26.0","34","15","45","00:27:36","00:31:37","43","56"
Treadmill Running,2024-09-02 18:14:29,false,"Anaerobic","7.91","451","00:44:26","133","166","2.6","151","197","5:37","2:42","--","--","1.13","8.5","9.4","290","49.2% L / 50.8% R","--","314","0.0","259","494","6,616","--","No","00:00:03.8","19","--","30","18","44","00:43:58","00:44:26","--","--"
Running,2024-09-01 17:13:58,false,"Sydney - Long Run","11.15","730","01:02:57","143","159","3.2","160","177","5:39","4:31","78","80","1.11","8.9","10.1","240","49.6% L / 50.4% R","5:37","300","0.0","284","425","9,948","24.0","No","00:00:49.3","12","29.0","33","20","42","01:02:27","01:02:57","42","65"
Treadmill Running,2024-08-30 12:26:46,false,"Threshold","10.02","624","00:49:46","151","171","3.6","158","206","4:58","3:57","--","--","1.26","8.4","10.9","241","49.4% L / 50.6% R","--","329","0.0","305","432","7,786","--","No","00:02:40.1","12","--","35","18","46","00:49:13","00:49:51","--","--"
Running,2024-08-29 16:50:35,false,"Sydney - Base","7.02","448","00:37:47","141","158","2.9","162","193","5:23","4:44","47","48","1.14","8.6","10.2","244","49.7% L / 50.3% R","5:22","312","0.0","293","431","6,064","23.0","No","00:00:50.4","8","29.0","29","17","37","00:37:16","00:37:47","43","57"
Running,2024-08-28 16:46:52,false,"Sydney - Threshold","8.33","576","00:44:55","153","172","3.5","156","188","5:24","3:51","104","76","1.18","8.1","9.8","250","49.4% L / 50.6% R","5:20","328","0.0","294","458","6,870","26.0","No","00:00:45.7","10","30.0","35","20","50","00:43:54","00:44:55","40","64"
Running,2024-08-25 06:31:49,false,"Sydney - Sydney Half Marathon","21.49","1,400","01:41:27","158","173","4.8","167","197","4:43","2:46","73","78","1.26","8.1","10.2","251","--","4:44","329","0.0","327","493","16,942","20.0","No","00:01:54.3","22","25.0","--","--","--","01:41:23","01:41:27","6","29"
Treadmill Running,2024-08-24 11:59:09,false,"Base","6.83","365","00:34:05","130","144","2.2","166","173","4:59","5:05","--","--","1.08","8.8","9.5","266","--","--","271","0.0","270","305","5,644","--","No","00:00:05.3","8","--","--","--","--","00:33:55","00:34:05","--","--"
Running,2024-08-20 16:34:49,false,"Sydney - Tempo","7.93","505","00:41:23","145","171","3.1","157","176","5:13","3:18","54","55","1.21","8.1","9.8","237","48.8% L / 51.2% R","5:10","330","0.0","298","488","6,398","22.0","No","00:00:41.1","14","27.0","32","20","44","00:41:14","00:41:48","42","64"
Running,2024-08-17 15:57:15,false,"Sydney - Anaerobic","7.43","499","00:46:33","135","173","3.0","143","188","6:16","2:53","43","45","1.09","7.7","8.1","268","49.0% L / 51.0% R","6:10","303","0.0","234","568","6,544","20.0","No","00:00:01.2","20","25.0","31","18","42","00:45:50","00:46:33","43","56"
Running,2024-08-16 12:04:53,false,"Sydney - Base","8.08","522","00:44:43","138","154","2.9","159","177","5:32","3:55","52","51","1.13","8.8","10.1","244","49.3% L / 50.7% R","5:29","307","0.0","288","455","7,018","25.0","No","00:00:00.8","10","28.0","29","22","39","00:43:48","00:44:43","45","66"
Treadmill Running,2024-08-15 20:54:33,false,"Tempo","11.00","618","00:53:15","142","166","3.2","161","202","4:50","3:39","--","--","1.27","7.8","10.1","246","49.7% L / 50.3% R","--","336","0.0","308","427","8,470","--","No","00:00:15.0","16","--","32","15","42","00:52:46","00:53:15","--","--"
Treadmill Running,2024-08-14 20:42:26,false,"Base","13.57","742","01:09:03","137","153","3.0","159","183","5:05","4:09","--","--","1.23","8.5","10.7","249","49.6% L / 50.4% R","--","317","0.0","300","391","10,812","--","No","00:00:03.5","15","--","30","19","42","01:07:45","01:09:03","--","--"
Running,2024-08-12 16:32:07,false,"Sydney Running","5.01","309","00:19:42","170","185","3.4","169","179","3:56","3:32","21","24","1.51","6.3","10.0","217","48.8% L / 51.2% R","3:56","386","0.0","377","494","3,288","19.0","No","00:00:02.0","6","24.0","41","24","51","00:19:26","00:19:42","45","57"
Running,2024-08-10 17:00:19,false,"Sydney - Recovery","6.29","411","00:32:16","142","157","3.0","164","174","5:08","4:23","48","50","1.18","8.3","9.8","255","--","5:07","310","0.0","302","396","5,364","20.0","No","00:00:15.9","8","29.0","--","--","--","00:32:09","00:32:16","44","57"
Running,2024-08-09 12:41:42,false,"Sydney - Sprint","5.10","355","00:37:19","126","164","2.3","132","241","7:19","1:54","13","14","1.02","7.4","7.4","288","49.1% L / 50.9% R","7:13","269","0.0","195","835","4,772","24.0","No","00:00:10","19","26.0","29","19","39","00:33:41","00:37:19","46","57"
Running,2024-08-08 16:30:40,false,"Sydney - Base","7.07","455","00:37:01","140","152","3.0","160","231","5:14","4:18","49","51","1.22","8.1","9.6","252","--","5:12","312","0.0","294","453","5,994","19.0","No","00:00:01.2","9","25.0","--","--","--","00:36:42","00:37:01","44","56"
Running,2024-08-07 16:13:42,false,"Sydney - Tempo","11.51","724","00:57:53","148","172","3.5","160","184","5:02","3:53","68","78","1.22","8.0","9.9","232","49.2% L / 50.8% R","5:00","330","0.0","304","495","9,170","18.0","No","00:00:23.5","16","25.0","33","19","43","00:57:48","00:57:53","41","66"
Running,2024-08-04 15:29:07,false,"Sydney - Long Run","21.12","1,313","01:49:10","144","159","3.9","164","180","5:10","4:02","146","145","1.18","8.8","10.6","235","49.0% L / 51.0% R","5:09","314","0.0","305","411","17,726","17.0","No","00:00:15.5","23","26.0","29","21","46","01:49:01","01:49:10","43","67"
Treadmill Running,2024-08-03 18:32:10,false,"Base","8.80","516","00:45:09","136","148","2.7","158","240","5:08","3:38","--","--","1.12","8.9","9.8","273","--","--","272","0.0","265","440","7,108","--","No","00:00:08.9","9","--","--","--","--","00:44:18","00:45:09","--","--"
Running,2024-08-02 11:10:41,false,"Sydney - Anaerobic","6.40","455","00:43:33","135","173","2.9","133","240","6:48","2:51","25","27","1.07","7.2","7.6","276","49.1% L / 50.9% R","6:46","300","0.0","210","531","5,636","19.0","No","00:01:00","18","24.0","32","17","42","00:39:23","00:43:33","47","57"
Running,2024-07-31 16:16:18,false,"Sydney - Sprint","6.20","418","00:42:49","132","166","2.6","136","234","6:54","2:01","29","34","1.03","8.1","7.9","293","48.8% L / 51.2% R","6:48","285","0.0","212","770","5,638","17.0","No","00:00:15","21","24.0","30","16","44","00:41:16","00:42:49","47","58"
Treadmill Running,2024-07-30 21:11:56,false,"Base","8.23","463","00:39:17","140","149","2.8","156","173","4:46","4:58","--","--","1.13","8.8","9.9","271","--","--","273","0.0","260","319","6,040","--","No","00:00:16.6","8","--","--","--","--","00:37:21","00:39:17","--","--"
Running,2024-07-29 16:26:14,false,"Sydney - VO2 Max","7.96","518","00:41:22","148","177","3.4","147","182","5:12","3:18","66","68","1.28","7.0","9.0","247","49.1% L / 50.9% R","5:09","348","0.0","288","538","5,980","15.0","No","00:00:12.7","14","23.0","35","22","48","00:38:18","00:41:22","42","58"
Running,2024-07-28 16:33:34,false,"Sydney - Base","8.12","499","00:39:04","145","161","3.2","166","172","4:49","4:18","70","75","1.26","8.3","10.8","230","49.2% L / 50.8% R","4:47","334","0.0","326","610","6,398","13.0","No","00:00:03.7","10","24.0","29","16","39","00:38:57","00:39:04","44","56"
Running,2024-07-27 15:38:17,false,"Sydney - Long Run","21.13","1,297","01:44:43","147","161","3.9","166","178","4:57","4:23","144","144","1.22","9.1","11.3","226","49.6% L / 50.4% R","4:57","326","0.0","322","437","17,224","16.0","No","00:00:33.7","22","25.0","28","14","45","01:44:22","01:44:43","43","66"
Treadmill Running,2024-07-26 13:39:10,false,"Anaerobic","6.44","371","00:37:22","132","166","2.4","148","255","5:48","3:00","--","--","1.12","8.4","9.2","261","50.1% L / 49.9% R","--","312","0.0","251","464","5,462","--","No","00:00:17.1","18","--","31","14","40","00:36:26","00:37:22","--","--"
Running,2024-07-25 16:52:00,false,"Sydney Running","4.01","256","00:21:54","138","152","2.3","159","169","5:28","4:36","25","26","1.16","9.1","10.6","247","49.2% L / 50.8% R","5:24","318","0.0","301","440","3,420","23.0","No","00:00:04.0","5","27.0","27","17","36","00:21:52","00:21:54","45","57"
Running,2024-07-24 16:24:49,false,"Sydney - Tempo","11.42","725","00:51:36","160","174","4.2","165","218","4:31","3:46","79","70","1.35","8.1","11.1","227","49.0% L / 51.0% R","4:29","353","0.0","347","489","8,422","18.0","No","00:00:06.5","13","25.0","37","25","53","00:51:29","00:51:36","43","66"
Running,2024-07-22 16:28:05,false,"Sydney - Threshold","11.85","757","00:57:37","155","173","4.0","157","224","4:52","3:46","79","78","1.31","7.9","10.6","236","49.2% L / 50.8% R","4:49","347","0.0","319","471","8,900","19.0","No","00:00:03.4","15","26.0","36","17","50","00:56:12","00:57:37","43","66"
Treadmill Running,2024-07-21 20:37:08,false,"Recovery","6.38","393","00:33:09","141","155","2.7","155","203","5:12","4:17","--","--","1.11","9.1","9.9","279","--","--","267","0.0","257","378","5,146","--","No","00:00:08.8","7","--","--","--","--","00:32:02","00:33:09","--","--"
Treadmill Running,2024-07-20 18:14:35,false,"Base","10.03","574","00:49:58","137","150","3.0","159","228","4:59","4:02","--","--","1.10","9.2","10.0","280","--","--","267","0.0","265","403","7,916","--","No","00:01:42.3","10","--","--","--","--","00:49:40","00:49:58","--","--"
Treadmill Running,2024-07-19 12:36:59,false,"Base","10.01","461","00:50:34","127","143","2.3","156","220","5:03","4:25","--","--","1.11","9.2","10.1","282","--","--","268","0.0","263","366","7,846","--","No","00:01:22.4","10","--","--","--","--","00:49:36","00:51:39","--","--"
Running,2024-07-18 16:27:40,false,"Sydney - VO2 Max","6.93","477","00:37:19","151","179","3.5","143","199","5:23","3:03","40","43","1.28","7.5","9.4","252","48.8% L / 51.2% R","5:19","349","0.0","284","562","5,224","17.0","No","00:01:00","18","24.0","33","20","46","00:33:14","00:37:19","44","57"
Running,2024-07-17 16:37:07,false,"Sydney - Recovery","5.25","332","00:29:34","135","148","2.4","161","169","5:38","4:31","29","33","1.11","9.4","10.6","244","49.0% L / 51.0% R","5:37","300","0.0","287","437","4,714","20.0","No","00:01:37.3","6","25.0","28","14","38","00:29:26","00:29:34","44","56"
Running,2024-07-16 12:30:13,false,"Sydney Running","2.75","173","00:15:51","125","136","2.0","164","169","5:45","4:15","14","12","1.05","9.0","9.5","271","--","5:48","277","0.0","274","416","2,594","19.0","No","00:04:07.7","3","21.0","--","--","--","00:15:46","00:15:51","5","13"
Running,2024-07-15 16:20:32,false,"Sydney Running","5.30","324","00:27:12","140","154","2.6","165","171","5:08","3:58","49","53","1.20","8.9","11.0","235","49.4% L / 50.6% R","5:01","330","0.0","323","507","4,466","16.0","No","00:01:34.2","6","24.0","27","17","39","00:27:02","00:27:12","43","64"
Running,2024-07-14 16:24:16,false,"Sydney - Lactate Threshold Test","6.66","413","00:33:26","146","175","3.1","161","176","5:01","3:27","45","47","1.24","8.5","10.5","236","49.4% L / 50.6% R","5:00","324","0.0","305","484","5,302","17.0","No","00:03:00","8","26.0","29","20","42","00:33:08","00:33:26","43","56"
Running,2024-07-13 16:04:36,false,"Sydney - Long Run","13.18","823","01:06:08","147","160","3.5","164","209","5:01","4:19","95","94","1.21","8.9","11.1","235","49.4% L / 50.6% R","4:59","320","0.0","315","416","10,852","17.0","No","00:00:08.1","15","25.0","32","15","44","01:05:37","01:06:08","42","64"
Running,2024-07-11 16:05:02,false,"Sydney - Anaerobic","9.29","590","00:53:23","138","172","3.1","152","193","5:45","2:43","56","56","1.12","8.5","9.4","249","49.5% L / 50.5% R","5:42","294","0.0","256","506","7,958","18.0","No","00:00:03.3","21","26.0","30","17","40","00:52:37","00:53:23","44","56"
Running,2024-07-10 09:20:26,false,"Sydney - Base","6.18","398","00:33:22","142","157","2.9","154","216","5:24","3:53","26","29","1.25","8.4","10.5","243","49.6% L / 50.4% R","5:19","314","0.0","288","473","5,016","18.0","No","00:01:06.2","7","26.0","30","17","41","00:31:11","00:33:22","46","56"
Running,2024-07-09 16:34:57,false,"Sydney - Tempo","10.56","686","00:54:55","151","168","3.5","158","180","5:12","3:51","71","73","1.21","8.8","10.8","236","49.4% L / 50.6% R","5:09","321","0.0","300","448","8,564","19.0","No","00:00:29.7","15","26.0","34","19","44","00:54:46","00:54:55","46","57"
Treadmill Running,2024-07-07 16:15:32,false,"Base","7.77","442","00:42:07","133","149","2.5","155","248","5:25","4:01","--","--","1.27","9.1","12.0","237","49.5% L / 50.5% R","--","329","0.0","312","484","6,430","--","No","00:00:07.4","10","--","28","15","41","00:40:38","00:42:07","--","--"
Treadmill Running,2024-07-06 16:47:38,false,"Long Run","17.07","1,028","01:31:02","145","158","3.5","159","234","5:20","3:59","--","--","1.28","9.2","12.0","238","49.8% L / 50.2% R","--","334","0.0","321","503","14,254","--","No","00:00:02.3","20","--","28","17","40","01:29:45","01:31:02","--","--"
