Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2025-05-18 17:31:24,false,"Base","10.03","455","00:49:13","130","149","2.7","155","162","4:54","4:00","--","--","1.36","8.4","11.4","271","--","--","330","0.0","329","420","7,588","--","No","00:00:31.4","12","--","--","--","--","00:49:00","00:51:53","--","--"
Running,2025-05-17 16:53:48,false,"Sydney - Anaerobic","5.22","332","00:33:24","130","170","2.5","143","200","6:24","2:45","28","32","1.06","7.6","8.1","276","50.8% L / 49.2% R","6:22","307","0.0","230","570","4,632","21.0","No","00:00:14.5","17","28.0","27","17","36","00:33:23","00:33:24","46","58"
Treadmill Running,2025-05-16 11:21:38,false,"Base","7.02","343","00:34:06","130","156","2.4","156","240","4:51","3:18","--","--","1.28","8.6","11.0","274","--","--","310","0.0","310","475","5,330","--","No","00:01:05.5","8","--","--","--","--","00:33:45","00:37:27","--","--"
Treadmill Running,2025-05-15 11:20:23,false,"Base","6.09","357","00:30:05","138","153","2.8","156","163","4:56","4:29","--","--","1.32","8.5","11.2","272","--","--","323","0.0","322","367","4,660","--","No","00:00:04.7","8","--","--","--","--","00:30:03","00:30:05","--","--"
Treadmill Running,2025-05-14 18:03:19,false,"Threshold","6.68","369","00:29:04","146","171","3.2","154","192","4:21","3:27","--","--","1.48","8.4","12.5","230","50.7% L / 49.3% R","--","369","0.0","355","541","4,434","--","No","00:00:03.9","8","--","34","24","49","00:28:15","00:30:08","--","--"
Treadmill Running,2025-05-13 11:41:40,false,"Base","6.12","273","00:30:04","123","147","2.0","156","230","4:55","4:38","--","--","1.29","8.6","11.1","274","--","--","314","0.0","314","356","4,654","--","No","00:00:01.2","8","--","--","--","--","00:29:50","00:32:36","--","--"
Treadmill Running,2025-05-11 17:03:23,false,"Long Run","12.43","714","01:04:04","139","155","3.2","152","240","5:09","3:06","--","--","1.32","8.6","11.3","275","--","--","317","0.0","311","486","9,632","--","No","00:00:03.8","14","--","--","--","--","01:02:21","01:05:01","--","--"
Running,2025-05-10 16:22:01,false,"Sydney - Base","6.33","410","00:31:34","146","160","3.0","161","166","4:59","4:19","45","46","1.25","9.6","12.2","229","50.5% L / 49.5% R","4:59","334","0.0","334","445","5,024","22.0","No","00:01:39.9","7","27.0","31","21","45","00:31:30","00:33:40","42","66"
Running,2025-05-09 10:03:53,false,"Sydney - Threshold","5.61","379","00:28:19","151","178","3.2","145","219","5:03","3:19","41","38","1.38","8.2","11.6","228","50.9% L / 49.1% R","4:59","359","0.0","320","515","4,006","22.0","No","00:00:18.8","8","25.0","37","22","49","00:25:25","00:28:49","47","58"
Running,2025-05-08 09:23:51,false,"Sydney - Anaerobic","5.38","385","00:36:17","135","177","2.8","128","221","6:44","2:48","23","27","1.12","7.0","7.9","275","50.7% L / 49.3% R","6:43","319","0.0","215","592","4,512","22.0","No","00:01:00","17","27.0","31","15","41","00:32:17","00:37:30","45","56"
Treadmill Running,2025-05-07 09:11:53,false,"Base","5.07","249","00:24:51","126","135","2.0","157","167","4:54","4:23","--","--","1.33","8.4","11.2","268","--","--","327","0.0","325","375","3,894","--","No","00:00:54.1","6","--","--","--","--","00:24:49","00:24:51","--","--"
